Country,Launch Site,Vehicle,"[30.972 S, 136.475 E]"
AUSTRALIA/(UNITED KINGDOM),Woomera,"LA-5B: (Black Arrow 1969-70, dismantled)","[31.074 S, 136.439 E]"
AUSTRALIA/(UNITED KINGDOM),Woomera,"LA-6A: (Europa 1966-71, dismantled)","[31.079 S, 136.445 E]"
AUSTRALIA/(UNITED KINGDOM),Woomera,"LA-6B: (Europa, never used, dismantled)","[31.034 S, 136.463 E]"
AUSTRALIA/(UNITED KINGDOM),Woomera,"LA-8: (Redstone-Sparta, 1966-67, retired)",
CHINA ,Woomera,,
CHINA ,Jiuquan (50-70 deg recoverable) (JQ),LC 2/Pad 5020 (2A): (CZ-1)(Site retired),"[41.306 N, 100.314 E]"
CHINA ,Jiuquan (50-70 deg recoverable) (JQ),"LC 2/Pad 138 (2B): (CZ-2C, CZ-2D)(Site retired)","[41.309 N, 100.317 E]"
CHINA ,Jiuquan (50-70 deg recoverable) (JQ),LC 3: (DF-2/3)(Site Retired),"[41.282 N, 100.305 E]"
CHINA ,Jiuquan (50-70 deg recoverable) (JQ),"LC 43/Pad 921 (SLS 4R): (CZ-2F, 1999- ) ","[40.958 N, 100.291 E]"
CHINA ,Jiuquan (50-70 deg recoverable) (JQ),"LC 43/Pad 603 (SLS 4L): (CZ-2D,-4C,-4B, 2003- )","[40.961 N, 100.298 E] "
CHINA ,Kuaizhou Pad:  Kuaizhou (2013- ),CA-11/KT-2 Pad:  (2015- ),"[40.972 N, 100.364 E] "
CHINA ,Wenchang ,"(CZ-7, CZ-5) (WC)","[40.969 N, 100.343 E]"
CHINA ,Pad 201 (East): (CZ-7)(2016- ),,"[19.619 N, 110.955 E]"
CHINA ,Pad 101 (West): (CZ-5)(2017? ),,"[19.614 N, 110.951 E]        "
CHINA ,"Xichang (only LH2 site, for GTO) (XC)",,"[28.247 N, 102.029 E]"
CHINA ,"Pad 1: (CZ-3, CZ-2C)",,"[28.246 N, 102.027 E]"
CHINA ,"Pad 2: (CZ-2E, CZ-3A, CZ-3B) ",,"[28.247 N, 102.029 E]"
CHINA ,Pad 3(Former 1 Rebuilt 2006):  (CZ-3A),,"[28.250 N, 102.023 E]"
CHINA ,"Pad 4?: (KT-1 ASAT?, Retired?)",,"[28.243 N, 102.033 E]                 "
CHINA ,"Pad 5?: (New Flat Pad, ~2010)",,
CHINA ,Taiyuan (LEO/P or LEO/S) (TY),"LC 7: (CZ-2C, CZ-4B) ","[38.849 N, 111.608 E]"
CHINA ,,LC 9: (CZ-4B/C)(2008- ),"[38.863 N, 111.589 E]"
CHINA ,,LC 10?: (CZ-6) (2015- )                         ,"[38.868 N, 111.580 E]"
EUROPE/ARIANESPACE,"Kourou, French Guiana (KO)",,
EUROPE/ARIANESPACE,,"ZLV: (was ELA 1 for Ariane 1-3, retired 1989, ","[5.236 N, 52.775 W]"
EUROPE/ARIANESPACE,, ,
EUROPE/ARIANESPACE,,"ZL2: (was Ariane 4, retired 2003)","[5.232 N, 52.776 W]"
EUROPE/ARIANESPACE,,"ZL3: (Ariane 5, first launch 1996)","[5.239 N, 52.769 W]"
EUROPE/ARIANESPACE,,"ELS: (Soyuz-2, 2011- )","[5.301 N, 52.837 W]"
FRANCE/ALGERIA,"Brigitte Pad:  (Diamant-A, 1965-67)",,"[30.871 N, 3.008 W]"
INDIA,Sriharikota (SRI),,
INDIA,Satish Dhawan Space Center,,
INDIA,,,
INDIA,"PSLV Pad (PSLV, GSLV): ",,"[13.733 N, 80.235 E]"
INDIA,"SLP: (PSLV, GSLV, first launch 2005) ",,"[13.720 N, 80.230 E]"
IRAN,"Semnan, Iran (SE) Dasht-e-Kavir Desert",,
IRAN,Safir Pad:                                     ,," [35.234 N, 53.921 E]"
IRAN,Unknown New Larger Pad:                        ,," [35.238 N, 53.951 E]"
ITALY/(KENYA),"San Marco Platform:  (Scout, 1967-88, retired)",,"[2.942 S, 40.206 E]"
JAPAN,Kagoshima (KA),,
JAPAN,Epsilon/M5/Mu Pad: (M5) ,,"[31.251 N, 131.082 E]"
